Date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,AQI,target,station_n
2013-03-01,8.625,16.875,7.375,44.573821327192825,870.8333333333334,75.79166666666667,1.6916666666666667,1024.8166666666666,-19.691666666666666,0.0,2.35,76.0,4,1
2013-03-01,7.541666666666667,12.375,15.583333333333334,18.73143093210523,362.5,76.83333333333333,0.016666666666666646,1023.7833333333333,-21.941666666666666,0.0,2.9333333333333336,77.0,4,2
2013-03-01,6.416666666666667,9.875,8.416666666666666,29.443274399692978,416.6666666666667,71.625,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,72.0,4,8
2013-03-01,6.375,12.708333333333334,3.0,34.634057061754255,204.16666666666666,81.95833333333333,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,82.0,4,11
2013-03-01,8.041666666666666,10.75,7.416666666666667,19.609941066359642,350.0,56.708333333333336,2.0625,1025.9041666666667,-19.708333333333332,0.0,2.6083333333333334,57.0,4,9
2013-03-01,8.083333333333334,9.333333333333334,3.1666666666666665,14.568274399692974,375.0,61.75,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666665,62.0,4,12
2013-03-01,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,68.0,4,3
2013-03-01,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,63.0,4,5
2013-03-01,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,72.0,4,6
2013-03-01,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,64.0,4,10
2013-03-01,5.083333333333333,18.958333333333332,16.041666666666668,15.333333333333334,387.5,77.79166666666667,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,78.0,4,4
